QUEST;id_domicilio;ESTRATO;UPA;id_morador;resp_sexo;resp_idade;resp_escolaridade;resp_pea;religiao_kids;raca_resp_kids;D1;D2;D3_A;D3_B;D3_C;D3_D;D3_E;D3_F;D3_G;D3_H;D3_I;D3_outro;D3_outro_desc;D3_J;D4;D5;D6;D7_A;D7_B;D7_C;D7_D;D7_E;D7_F;D7_G;D7_outro;D7_outro_desc;D7_H;E3;E4_A;E4_B;E4_C;E4_D;E4_E;E4_F;E4_G;E5_A;E5_B;E5_C;E5_D;E5_E;E5_F;E5_G;E6_A;E6_B;E6_C;E6_D;E6_E;E6_F;E6_G;E7_A;E7_B;E7_C;E7_D;F1;F3;F4_A;F4_B;F5_A;F5_B;F5_C;F5_D;F5_E;F5_F;F6_A;F6_B;F6_C;F6_D;F6_E;F6_F;F6_G;F6_H;F6_I;F6_outro;F6_outro_desc;F6_J;L1;L2;L3_A;L3_B;L3_C;L3_D;L3_E;L3_F;L3_G;L3_H;L3_I;L3_J;L3_outro;L3_outro_desc;L3_K;L4;AF1_A;AF1_B;AF1_C;AF1_D;sexo_kids;idade_kids;ESC1;raca_kids;M1_A;M1_B;M1_C;M1_D;M1_E;M1_F;M1_outro;M1_outro_desc;M2;M3;M4_A;M4_B;M4_C;M4_D;M4_E;M4_F;M4_G;M4_H;M4_I;M4_J;M4_outro;M4_outro_desc;M4_K;M5;M6_A;M6_B;M7_A;M7_B;M7_C;M7_D;M7_E;M7_F;M7_G;M7_H;M8;N1_A;N1_B;N1_C;N1_D;N1_E;N1_F;N1_G;N1_H;N1_I;N1_J;N1_K;N1_L;N1_M;N1_N;N1_O;N1_P;N1_Q;N1_R;N2_A;N2_B;N2_C;N2_D;N2_E;N2_F;N2_G;N2_H;N3;O1_A;O1_B;O1_C;O1_D;O1_E;O1_outro;O1_outro_desc_1;O1_outro_desc_2;O1_outro_desc_3;O2;O3;O4;O5_A;O5_B;O5_C;O5_D;O5_E;O5_F;O6;O7;O8;P1_A;P1_B;P1_C;P1_D;P1_E;P1_F;P1_G;P1_H;P1_outro;P1_outro_desc;P1_I;P2;P3;R1_A;R1_B;R1_C;R2_A;R2_B;R2_C;R2_D;R2_E;R3_A;R3_B;R3_C;R3_D;U1;U2_A;U2_B;U2_C;U2_D;U2_E;U2_F;U2_G;U3_A;U3_B;U3_C;U3_D;U3_E;U3_F;U3_G;U4_A;U4_B;U4_C;U4_D;U4_E;U4_F;U4_G;U5_A;U5_B;U5_C;U5_D;U5_E;U5_F;U5_G;U6_A;U6_B;U6_C;U6_D;U6_E;U6_F;U6_G;U6_H;T1;T2_A;T2_B;T2_C;T2_D;T2_OUTRO;T3;T4;T5_A;T5_B;T5_C;T5_D;T5_E;T5_F;T5_OUTRO;T6;T7_A;T7_B;T7_C;T7_D;T7_E;T8;T9_A;T9_B;T9_C;T9_D;T9_E;T9_F;T10_A;T10_B;T10_C;T10_D;T10_E;T11_A;T11_B;T11_C;T11_D;T11_E;T11_F;T12_A;T12_B;T12_C;T12_D;T12_E;T12_F;T13_A;T13_B;T13_C;T13_D;T13_E;T13_F;T14;T15_A;T15_B;T15_C;T15_D;T15_E;T15_F;T16;T17;T18;T19_A;T19_B;T19_C;T19_D;T19_E;T19_F;T19_G;T19_H;T19_I;T19_J;T19_OUTRO;T20;T21_A;T21_B;T21_C;T21_D;T21_E;T21_F;T21_G;T21_H;T21_I;T21_J;T21_K;AV1_1;AV1_2;AV1_3;AV1_4;AV2_1;AV2_2;AV2_3;AV2_4;AV3_1;AV3_2;AV3_3;AV3_4;AV3_5;AV3_6;AV4;AV5;Peso;cod_regiao;area;RENDA_FAMILIAR;CLASSE_2008;CLASSE_2015
1072;1072;54;325;3;2;31;12;1;4;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;0;0;0;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;3;3;3;3;1;1;98;1;0;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;99;99;1;1;0;1;1;0;0;1;0;0;0;0;0;99;99;1;1;0;0;0;2;12;7;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;0;0;0;10;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;99;99;3;99;99;2;99;99;99;0;1;1;0;1;0;99;99;99;2;4;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;99;99;0;1;3;3;3;0;1;1;1;0;1;0;1;1;1;2;1;3;2;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;4479,21385044462;1;1;4;4;3
1075;1075;54;325;4;2;36;10;2;15;4;1;2;0;1;1;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;2;9;4;1;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;1;0;0;0;0;0;0;99999997;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;99;1;1;99;99;1;99;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;1;0;1;0;1;2;2;3;2;3;3;2;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;3;1;3003,15785687895;1;1;4;8;6
1126;1126;54;326;2;2;51;10;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;98;98;98;98;98;98;98;98;98;0;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;2;2;2;0;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;2;13;8;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;3;1;1;0;1;0;1;0;0;0;0;13;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;99;5;2;99;99;5;3;2;0;1;1;0;1;0;0;99;99;99;1;6;3;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;99;99;0;0;3;3;1;1;1;1;1;1;1;1;1;1;1;2;3;2;2;3;2;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;17645,4673358142;1;1;1;6;5
1127;1127;54;326;2;1;37;11;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;1;0;0;99;99;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;3;3;3;1;0;0;0;0;3;2;3;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;99;99;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;2;16;11;3;1;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;0;0;99999997;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;4;1;1;3;3;3;3;3;0;1;1;1;1;1;0;99;99;99;1;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;99;99;0;0;2;2;3;1;1;1;1;1;1;0;1;1;2;1;1;1;1;3;1;3;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;0;0;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;3;1;13856,5388693806;1;1;2;6;5
1131;1131;54;326;3;2;34;8;5;4;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;2;1;0;0;0;1;0;0;0;99;99;0;0;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;3;1;2;0;0;1;1;0;2;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;99;99;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;1;0;2;17;10;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;3;1;1;0;0;0;1;0;0;0;0;99999997;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;1;1;1;99;99;99;99;4;99;3;3;99;1;1;0;1;0;0;99;99;99;1;6;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;99;99;0;0;1;1;3;1;1;1;1;0;1;1;1;1;2;1;1;1;1;3;1;3;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;3;1;26673,4957099497;1;1;1;6;5
1138;1138;54;326;2;1;19;9;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;2;0;0;0;1;0;0;0;0;99;99;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;3;1;1;1;1;1;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;2;17;11;3;1;1;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;3;1;1;0;1;0;1;0;0;0;0;13;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;99;3;99;99;99;2;3;0;1;0;0;1;0;0;99;99;99;1;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;99;99;0;0;1;3;3;1;0;0;1;0;1;0;1;1;2;1;1;1;1;3;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;97;97;97;97;97;97;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;10815,0574755271;1;1;2;6;6
1159;1159;2;12;6;2;29;11;1;1;5;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;0;1;0;0;1;1;0;99;99;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;3;1;3;0;0;0;0;0;2;2;3;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;99;99;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;2;13;8;2;1;1;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;1;0;1;0;0;1;1;9;0;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;99;2;99;2;99;99;1;3;0;1;0;0;1;1;0;99;99;99;1;6;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;99;99;0;0;3;3;3;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;903,237451593845;1;1;4;6;5
1162;1162;2;12;2;2;38;7;5;1;1;0;99;0;1;0;1;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;1;13;5;1;0;0;0;0;0;0;0;99;1;2;1;0;1;0;1;0;0;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;1;0;99;99;99;99;99;99;99;99;99;99;3;1;2584,98703124237;1;1;1;6;6
1163;1163;2;12;2;2;31;8;5;1;4;0;99;1;1;1;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;1;16;6;4;0;0;0;0;0;0;0;99;0;99;0;1;0;0;1;0;0;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;3;1;2551,18111072692;1;1;1;8;6
1165;1165;2;12;5;2;36;9;5;1;4;1;2;1;1;0;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;2;14;8;4;0;0;0;0;0;0;0;99;1;2;1;0;0;1;1;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;99;99;99;99;99;99;99;99;99;99;3;1;851,382115380068;1;1;1;6;5
1166;1166;2;12;7;2;38;9;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;1;1;1;0;99;99;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;3;3;1;1;1;1;0;2;2;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;1;0;2;13;6;3;1;1;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;0;1;1;9;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;99;2;3;1;99;99;1;1;0;1;1;1;1;1;0;99;99;99;1;6;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;1;1;1;0;99;99;0;0;3;3;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;1523,12484174136;1;1;3;6;5
1173;1173;2;12;2;2;38;10;4;4;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;99;99;99;99;99;99;99;99;99;99;99;0;3;2;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;99;99;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;1;0;1;14;9;2;1;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;0;0;1;1;0;0;1;1;10;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;99;99;3;99;4;4;99;2;99;1;0;0;1;0;0;99;99;99;1;4;2;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;1;0;99;99;1;0;3;3;3;0;1;0;1;0;1;1;1;1;1;1;1;1;3;3;1;2;0;0;1;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;99;99;99;99;99;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;945,252376844711;1;1;2;6;6
1175;1175;2;12;2;2;22;10;5;98;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;0;0;99;99;1;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;3;2;3;1;1;1;1;0;2;1;3;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;99;99;0;1;1;0;0;0;0;0;1;0;0;0;0;99;99;1;0;0;0;1;2;15;10;3;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;1;0;1;1;13;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;99;3;3;1;99;2;1;1;0;1;1;1;1;0;0;99;99;99;1;6;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;99;99;0;1;3;3;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;3;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;97;97;97;97;97;0;0;99;99;99;99;99;99;99;99;0;1;0;1;0;1;0;0;0;0;0;1;97;97;97;97;97;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;99;1;0;0;1;0;0;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;1556,19564618381;1;1;97;4;3
1176;1176;2;12;5;1;36;10;2;3;4;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;0;1;0;99;99;1;0;1;1;0;0;1;97;0;1;1;1;0;1;1;3;2;2;3;3;3;3;1;1;1;1;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;99;99;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;2;14;9;3;1;1;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;1;0;1;0;0;0;1;13;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;99;99;99;99;99;99;2;2;99;1;0;0;0;0;0;99;99;99;1;6;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;99;99;0;0;1;3;3;0;1;1;1;1;1;0;1;1;2;1;1;2;1;3;2;3;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;1;0;1;1;0;0;0;0;0;97;97;97;97;97;1;1;0;0;1;0;97;97;97;97;97;97;1;0;1;0;0;0;1;1;0;0;0;0;0;0;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;2150,91608330231;1;1;3;4;3
1179;1179;2;12;5;2;49;10;1;4;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;98;98;98;98;98;98;98;98;98;0;99;99;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;0;1;2;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;2;13;7;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;3;1;1;1;1;0;1;0;0;0;0;10;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;99;99;5;4;99;4;3;3;99;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;1;1;1;0;1;1;1;0;99;99;0;0;3;3;3;0;1;0;0;0;1;1;1;1;1;1;1;1;1;3;1;3;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;2225,9375849398;1;1;3;6;5
1183;1183;2;12;2;1;27;11;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;0;0;0;99;99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;97;1;97;3;1;3;0;0;0;0;0;97;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;16;4;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;0;1;1;0;1;0;0;1;0;13;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;99;1;99;3;2;99;99;99;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;1;1;1;0;0;99;99;0;1;3;3;3;1;1;0;1;1;1;0;1;1;2;1;1;1;1;1;1;3;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;99;99;99;99;99;0;1;97;97;97;97;97;97;97;0;97;97;97;97;97;99;1;0;0;0;0;0;97;97;97;97;97;97;97;97;97;97;97;1;0;0;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;97;97;97;97;97;97;97;97;97;97;97;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;687,13152785558;1;1;97;8;5
